Pruning Fraction,# Fine Tuning Parameters,Maximum Memory Usage [MB],Accuracy,Average Latency for one image [ms],Maximum Power Consumption [W],Average Enery Consmption for One Image [mj]
0.05,10,17,77.5,45.790,8.954,386.98702
0.10,10,15,78.5,43.377,8.905,358.889565
0.20,10,15,77.3,39.890,8.744,325.767329
0.30,10,12,76.9,36.189,8.916,302.219427
0.40,10,8,74.4,32.720,9.111,277.892279
0.50,10,8,67.3,29.024,9.015,243.90789
0.60,10,6,64.9,26.908,8.966,224.263548
0.70,10,5,62.6,23.789,8.962,199.548724
0.80,10,6,56.2,18.440,8.901,151.197552
0.90,10,4,51.6,5.190,7.68,38.873215